"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name","Ad delivery",Results,"Result indicator","Cost per results",Impressions,"Ad set budget","Ad set budget type","Amount spent (AUD)","Link clicks","CTR (link click-through rate)","CPC (cost per link click) (AUD)","Adds to cart","Cost per add to cart (AUD)","Checkouts initiated","Cost per checkout initiated (AUD)",Purchases,"Cost per purchase (AUD)","Purchases conversion value","Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (AUD)",CVR,Frequency,"Ad ID","Ad set ID","Campaign ID","Hook Rate","Hold Rate New"
2026-05-07,2026-05-11,"C12 - V1 - Ad 1 - 7/5","Launch - ABO - 2/4","Concept 12 - V1 - Native Long Form - 7/5",not_delivering,,,,189,20,Daily,29.96,6,3.174603,4.993333,,,,,,,,,158.518519,0,1.055866,6911252845377,6911252844777,6883585740777,0,0
2026-05-07,2026-05-11,"C12 - V1 - Ad 2 - 7/5","Launch - ABO - 2/4","Concept 12 - V1 - Native Long Form - 7/5",inactive,,,,76,20,Daily,12.47,1,1.315789,12.47,,,,,,,,,164.078947,0,1.041096,6911253161377,6911252844777,6883585740777,0,0
2026-05-07,2026-05-11,"C12 - V1 - Ad 3 - 7/5","Launch - ABO - 2/4","Concept 12 - V1 - Native Long Form - 7/5",not_delivering,,,,108,20,Daily,9.5,5,4.62963,1.9,,,,,,,,,87.962963,0,1.048544,6911253354177,6911252844777,6883585740777,0,0
2026-05-07,2026-05-11,"C13 - Ad 1 - 7/5","Launch - ABO - 2/4","Concept 13 - Claymation C12  - 7/5",active,1,actions:offsite_conversion.fb_pixel_purchase,6.06,90,20,Daily,6.06,3,3.333333,2.02,1,6.06,2,3.03,1,6.06,69.99,11.549505,67.333333,0.33333333,1.071429,6911511498577,6911511498777,6883585740777,0.5,0.13333333
2026-05-07,2026-05-11,"C13 - Ad 3 - 7/5","Launch - ABO - 2/4","Concept 13 - Claymation C12  - 7/5",inactive,,,,264,20,Daily,15.86,5,1.893939,3.172,,,,,,,,,60.075758,0,1.090909,6911550268177,6911511498777,6883585740777,0.45454545,0.09469697
2026-05-07,2026-05-11,"C13 - Ad 2 - 7/5","Launch - ABO - 2/4","Concept 13 - Claymation C12  - 7/5",inactive,,,,1559,20,Daily,83.78,42,2.694035,1.994762,2,41.89,1,83.78,,,,,53.739577,0,1.177492,6911550268377,6911511498777,6883585740777,0.44323284,0.11096857
2026-05-07,2026-05-11,"C2 - Ad 3 - 2/4","Launch - ABO - 2/4","Concept 2 - 2/4",active,,,,3641,40,Daily,124.97,68,1.867619,1.837794,5,24.994,1,124.97,,,,,34.322988,0,1.503924,6883623044377,6883619991177,6883585740777,0,0
2026-05-07,2026-05-11,"C3 - Ad 1 - 7/4","Launch - ABO - 2/4","Concept 3 - 7/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6887178894377,6887178893777,6883585740777,,
2026-05-07,2026-05-11,"C3 - Ad 3 - 7/4","Launch - ABO - 2/4","Concept 3 - 7/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6887182536977,6887178893777,6883585740777,,
2026-05-07,2026-05-11,"C3 - Ad 5 (Meta AI) - 7/4","Launch - ABO - 2/4","Concept 3 - 7/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6887182537177,6887178893777,6883585740777,,
2026-05-07,2026-05-11,"C3 - Ad 4 - 7/4","Launch - ABO - 2/4","Concept 3 - 7/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6887182537377,6887178893777,6883585740777,,
2026-05-07,2026-05-11,"C3 - Ad 6 (Meta AI) - 7/4","Launch - ABO - 2/4","Concept 3 - 7/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6887185040377,6887178893777,6883585740777,,
2026-05-07,2026-05-11,"C4 - Ad 1 - 11/4","Launch - ABO - 2/4","Concept 4 - USP - 11/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6891136068977,6891136069577,6883585740777,,
2026-05-07,2026-05-11,"C4 - Ad 3 - 11/4","Launch - ABO - 2/4","Concept 4 - USP - 11/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6891137799977,6891136069577,6883585740777,,
2026-05-07,2026-05-11,"C4 - Ad 2 - 11/4","Launch - ABO - 2/4","Concept 4 - USP - 11/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6891137800177,6891136069577,6883585740777,,
2026-05-07,2026-05-11,"C4 - Ad 2 - 12/4","Launch - ABO - 2/4","Concept 4 - USP - 12/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6891224523977,6891224523777,6883585740777,,
2026-05-07,2026-05-11,"C4 - Ad 3 - 12/4","Launch - ABO - 2/4","Concept 4 - USP - 12/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6891224524177,6891224523777,6883585740777,,
2026-05-07,2026-05-11,"C4 - Ad 1 - 12/4","Launch - ABO - 2/4","Concept 4 - USP - 12/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6891224524377,6891224523777,6883585740777,,
2026-05-07,2026-05-11,"C5 - Ad 1 - 21/4 (2:2)","Launch - ABO - 2/4","Concept 5 - Social Proof - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6898277216977,6898277217177,6883585740777,,
2026-05-07,2026-05-11,"C5 - Ad 3 - 21/4 (2:2)","Launch - ABO - 2/4","Concept 5 - Social Proof - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6898280827777,6898277217177,6883585740777,,
2026-05-07,2026-05-11,"C5 - Ad 2 - 21/4 (2:2)","Launch - ABO - 2/4","Concept 5 - Social Proof - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6898280827977,6898277217177,6883585740777,,
2026-05-07,2026-05-11,"C6 - Ad 1 - 21/4 (2:2)","Launch - ABO - 2/4","Concept 6 - Us vs Them - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6898284270777,6898284270177,6883585740777,,
2026-05-07,2026-05-11,"C6 - Ad 3 - 21/4 (2:2)","Launch - ABO - 2/4","Concept 6 - Us vs Them - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6898285644777,6898284270177,6883585740777,,
2026-05-07,2026-05-11,"C6 - Ad 2 - 21/4 (2:2)","Launch - ABO - 2/4","Concept 6 - Us vs Them - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6898285644977,6898284270177,6883585740777,,
2026-05-07,2026-05-11,"C7 - Ad 1 - 28/4 (2:2)","Launch - ABO - 2/4","Concept 7 - Stat Callout - 28/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6904708816977,6904708817177,6883585740777,,
2026-05-07,2026-05-11,"C7 - Ad 2 - 28/4 (2:2)","Launch - ABO - 2/4","Concept 7 - Stat Callout - 28/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6904709778177,6904708817177,6883585740777,,
2026-05-07,2026-05-11,"C7 - Ad 3 - 28/4 (2:2)","Launch - ABO - 2/4","Concept 7 - Stat Callout - 28/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6904709778377,6904708817177,6883585740777,,
2026-05-07,2026-05-11,"C8 - Ad 1 - 28/4 (2:2)","Launch - ABO - 2/4","Concept 8 - Native - 28/4 - (2:2)",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6905164812977,6905164812377,6883585740777,,
2026-05-07,2026-05-11,"C8 - Ad 2 - 28/4 (2:2)","Launch - ABO - 2/4","Concept 8 - Native - 28/4 - (2:2)",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6905173278777,6905164812377,6883585740777,,
2026-05-07,2026-05-11,"C8 - Ad 3 - 28/4 (2:2)","Launch - ABO - 2/4","Concept 8 - Native - 28/4 - (2:2)",active,5,actions:offsite_conversion.fb_pixel_purchase,20.492,3297,20,Daily,102.46,51,1.546861,2.00902,7,14.637143,7,14.637143,5,20.492,577.92,5.640445,31.076736,0.09803922,1.60438,6905173278977,6905164812377,6883585740777,0,0
2026-05-07,2026-05-11,"C6 - Ad 2 - Variation 1 - 30/4","Launch - ABO - 2/4","Concept 6 - Us vs Them - Variation V1 - 30/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6906421100777,6906421099577,6883585740777,,
2026-05-07,2026-05-11,"C2 - Ad 1 - 2/4","Launch - ABO - 2/4","Concept 2 - 2/4",inactive,,,,0,40,Daily,0,,,,,,,,,,,,0,,0,6883619990577,6883619991177,6883585740777,,
2026-05-07,2026-05-11,"C2 - Ad 2 - 2/4","Launch - ABO - 2/4","Concept 2 - 2/4",active,1,actions:offsite_conversion.fb_pixel_purchase,88.63,3376,40,Daily,88.63,86,2.547393,1.030581,5,17.726,2,44.315,1,88.63,69.99,0.789687,26.252962,0.01162791,1.124958,6883622805777,6883619991177,6883585740777,0,0
