"Reporting starts","Reporting ends","Ad name","Ad set name","Ad delivery",Results,"Result indicator","Cost per results",Impressions,"Ad set budget","Ad set budget type","Amount spent (AUD)","Link clicks","CTR (link click-through rate)","CPC (cost per link click) (AUD)","Adds to cart","Cost per add to cart (AUD)","Checkouts initiated","Cost per checkout initiated (AUD)",Purchases,"Cost per purchase (AUD)","Purchases conversion value","Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (AUD)",AOV,CVR,Frequency,"Ad ID","Hook Rate","Hold Rate New"
2026-05-12,2026-05-12,"C2 - Ad 3 - 2/4","Concept 2 - 2/4",inactive,,,,0,40,Daily,0,,,,,,,,,,,,0,,,0,6883623044377,,
2026-05-12,2026-05-12,"C2 - Ad 2 - 9/4 - POST ID","Scaling Winners - 9/4",active,4,actions:offsite_conversion.fb_pixel_purchase,25.31,3465,"Using campaign budget",0,101.24,109,3.145743,0.928807,16,6.3275,10,10.124,4,25.31,354.95,3.506025,29.217893,88.7375,0.03669725,1.037425,6889593065777,0,0
2026-05-12,2026-05-12,"C4 - Ad 2 - 12/4","Concept 4 - USP - 12/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6891224523977,,
2026-05-12,2026-05-12,"C4 - Ad 3 - 12/4","Concept 4 - USP - 12/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6891224524177,,
2026-05-12,2026-05-12,"C4 - Ad 1 - 12/4","Concept 4 - USP - 12/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6891224524377,,
2026-05-12,2026-05-12,"C5 - Ad 1 - 21/4 (2:2)","Concept 5 - Social Proof - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6898277216977,,
2026-05-12,2026-05-12,"C5 - Ad 3 - 21/4 (2:2)","Concept 5 - Social Proof - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6898280827777,,
2026-05-12,2026-05-12,"C5 - Ad 2 - 21/4 (2:2)","Concept 5 - Social Proof - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6898280827977,,
2026-05-12,2026-05-12,"C6 - Ad 1 - 21/4 (2:2)","Concept 6 - Us vs Them - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6898284270777,,
2026-05-12,2026-05-12,"C6 - Ad 3 - 21/4 (2:2)","Concept 6 - Us vs Them - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6898285644777,,
2026-05-12,2026-05-12,"C6 - Ad 2 - 21/4 (2:2)","Concept 6 - Us vs Them - 21/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6898285644977,,
2026-05-12,2026-05-12,"C7 - Ad 1 - 28/4 (2:2)","Concept 7 - Stat Callout - 28/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6904708816977,,
2026-05-12,2026-05-12,"C7 - Ad 2 - 28/4 (2:2)","Concept 7 - Stat Callout - 28/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6904709778177,,
2026-05-12,2026-05-12,"C7 - Ad 3 - 28/4 (2:2)","Concept 7 - Stat Callout - 28/4 - (2:2)",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6904709778377,,
2026-05-12,2026-05-12,"C8 - Ad 1 - 28/4 (2:2)","Concept 8 - Native - 28/4 - (2:2)",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6905164812977,,
2026-05-12,2026-05-12,"C8 - Ad 2 - 28/4 (2:2)","Concept 8 - Native - 28/4 - (2:2)",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,,0,6905173278777,,
2026-05-12,2026-05-12,"C8 - Ad 3 - 28/4 (2:2)","27th-3rd May Winner",not_delivering,,,,0,"Using campaign budget",0,0,,,,,,,,,,,,0,,,0,6909469573377,,
